ProgramSection,ProgramSubSection,Activity,AgeGroup,Location,CourseCode,CourseComments,CourseDayofWeek,CourseDate,CourseTime
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Ranger,7-13 years,Victoria Road Recreation Centre,166387,Combined with Rookie & Star  No class Aug 4,Mon-Fri,Jul 28-Aug 8,9:30-10:30 a.m.
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Rookie,6-13 years,West End Community Centre,166388,Combined with Ranger & Star,Mon-Fri,Jul14-24,10:30-11:30 a.m.
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Rookie,6-13 years,West End Community Centre,166389,Combined with Ranger & Star,Mon-Fri,Aug11-21,10:30-11:30 a.m.
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Rookie,7-13 years,Victoria Road Recreation Centre,166390,Combined with Ranger & Star  No class Aug 4,Mon-Fri,Jul 28-Aug 8,9:30-10:30 a.m.
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Star,6-12 years,West End Community Centre,166391,Combined with Rookie & Ranger,Mon-Fri,Jul14-24,10:30-11:30 a.m.
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Star,6-12 years,West End Community Centre,166392,Combined with Rookie & Ranger,Mon-Fri,Aug11-21,10:30-11:30 a.m.
Aquatics,Schoolage Aquatics,Canadian Swim Patrol - Star,7-13 years,Victoria Road Recreation Centre,166393,Combined with Rookie & Ranger  No class Aug 4,Mon-Fri,Jul 28-Aug 8,9:30-10:30 a.m.
Aquatics,Family Lessons,"Family A (Sea Otter, Salamander, Sunfish, Crocodile)",3-6 years,West End Community Centre,166396,,Mon-Fri,Jul14-24,9:30-10:15 a.m.
Aquatics,Family Lessons,"Family A (Sea Otter, Salamander, Sunfish, Crocodile)",3-6 years,West End Community Centre,166397,,Mon-Fri,Aug11-21,9:30-10:15 a.m.
Aquatics,Family Lessons,"Family A (Sea Otter, Salamander, Sunfish, Crocodile)",3-6 years,West End Community Centre,166398,,Mon-Fri,Jul14-24,8:45-9:30 a.m.
Aquatics,Family Lessons,"Family A (Sea Otter, Salamander, Sunfish, Crocodile)",3-6 years,West End Community Centre,166399,,Mon-Fri,Aug11-21,8:45-9:30 a.m.
Aquatics,Family Lessons,"Family Advanced (Swim Kids 7,8,9.10)",6-12 years,West End Community Centre,166400,,Mon-Fri,Jul14-24,9:30-10:30 a.m.
Aquatics,Family Lessons,"Family Advanced (Swim Kids 7,8,9.10)",6-12 years,West End Community Centre,166401,,Mon-Fri,Aug11-21,9:30-10:30 a.m.
Aquatics,Family Lessons,"Family Advanced (Swim Kids 7,8,9.10)",6-12 years,West End Community Centre,166402,,Mon-Fri,Jul14-24,9:30-10:30 a.m.
Aquatics,Family Lessons,"Family Advanced (Swim Kids 7,8,9.10)",6-12 years,West End Community Centre,166403,,Mon-Fri,Aug11-21,9:30-10:30 a.m.
Aquatics,Family Lessons,"Family B (Swim Kids1,2,3,4, Whale)",5-12 years,West End Community Centre,166404,,Mon-Fri,Jul14-24,8:45-9:30 a.m.
Aquatics,Family Lessons,"Family B (Swim Kids1,2,3,4, Whale)",5-12 years,West End Community Centre,166405,,Mon-Fri,Jul14-24,9:30-10:15 a.m.
Aquatics,Family Lessons,"Family B (Swim Kids1,2,3,4, Whale)",5-12 years,West End Community Centre,166406,,Mon-Fri,Aug11-21,8:45-9:30 a.m.
Aquatics,Family Lessons,"Family B (Swim Kids1,2,3,4, Whale)",5-12 years,West End Community Centre,166407,,Mon-Fri,Aug11-21,9:30-10:15 a.m.
Aquatics,Family Lessons,"Family B (Swim Kids1,2,3,4, Whale)",5-12 years,West End Community Centre,166408,,Mon-Fri,Jul14-24,8:45-9:30 a.m.
